Downloaded from FDA Inventory of Effective Food Contact Substance (FCS) Notifications; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FCN; Last updated 2/28/2025; downloaded 3/31/2025.

"According to Section 409(h)(1)(C) of the FFDCA, food contact substance notifications (FCNs) are effective only for the listed manufacturer and its customers. Other manufacturers must submit their own FCN for the same food contact substance & intended use."

FCN No,Message,Addl Info description,Addl Info details,Addl Info details 2,Addl Info details 3,Food Contact Substance,FCS REPLACED BY,Notifier,Manufacturer Supplier,Intended Use,Limitations Specifications,Effective Date,NEPA Submission,FDA Decision for NEPA
=T("459"),,,,,," Styrene-maleic anhydride copolymer, sodium salt (CAS Reg. No. 25736-61-2).",," Asahi Kasei Chemicals Corporation"," Asahi Kasei Chemicals Corporation"," The FCS will be used as a surfactant in the manufacture of styrene-1,3 butadiene and styrene-1,3 butadiene, hydrogenated block copolymers."," For use in the manufacture of styrene-1,3 butadiene and styrene-1,3 butadiene, hydrogenated block copolymers as described in 21 CFR 177.1810 (b) items 1 and 3. The use level of the food contact substance (FCS) is not to exceed 3000 ppm in the finished food-contact article in contact with food types I, II, IV-B, VI, VII-B and VIII as described in Table 1 under Conditions of Use D through G as described in Table 2 in accordance with 21 CFR 177.1810(b) item 1(i) and Conditions of Use C through G in accordance with 21 CFR 177.1810(b) item 1(ii) and item 3(i). Also to be used in contact with food types III, IV-A, V, VII-A, VIII, and IX under Conditions of Use D in accordance with 21 CFR 177.1810(b) item 3(ii).",12/03/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("460"),,,,,," Benzenemethanaminium, N,N-dimethyl-N-(2-(2-(4-(1,1,3,3,-tetramethylbutyl)phenoxy)ethoxy)-ethyl)-,chloride (CAS Reg. No. 121-54-0) also known as Benzethonium Chloride USP",," Lonza, Inc."," Arxada, LLC"," As an antimicrobial agent in no-rinse hand sanitizers for food handlers."," Benzethonium Chloride USP may be used at levels not to exceed 0.2 percent by weight of the finished hand sanitizer formulations.",12/07/2004," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("461"),,,,,," The FCS is a cross-linked reaction product of an acrylic resin, a silane coupling agent, and a urethane polymer. This reaction product is formed in situ as a layer applied to an appropriate base film. The acrylic resin consists of a copolymer of styrene (CAS Reg. No. 100-42-5), methyl methacrylate (CAS Reg. No.80-62-6), methacrylic acid(CAS Reg. No. 79-41-4), t-butyl methacrylate (CAS Reg. No.585-07-9), and hydroxyethyl methacrylate (CAS Reg. No.868-77-9). The silane coupling agent consists of gamma-isocyanatopropyl-trimethoxysilane (IPSi) (CAS Reg. No. 15396-00-6). The urethane prepolymer is an NCO-terminated prepolymer consisting of trimethylol propane (CAS Reg. No. 77-99-6) adducts of 3-isocyanatomethyl-3,5,5-trimethylcyclohexyl isocyanate (isophorone diisocyanate, or IPDI) and 1,3-bis(isocyanatomethyl)benzene (m-xylylene diisocyanate, m-XDI).",," Toppan Printing Company, Ltd."," Toppan Printing Company, Ltd."," As a non-food contact layer in multilayer films intended for use in packaging food of all types under the Conditions of Use B through H as defined in Table 2."," The FCS layer will be separated from the food by a 20 micron or thicker layer of low-density polyethylene (LDPE) or by a poly(ethylene terephthalate) (PET) or other polymer layer of a thickness sufficient to provide equivalent or better barrier properties than 20 microns of LDPE.",12/09/2004," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("462"),,,,,," Cross-linked reaction product of polyvinyl alcohol (PVOH; CAS Reg. No. 9002-89-5) and tetraethoxysilane (TEOS; CAS Reg. No. 78-10-4).",," Toppan Printing Company, Ltd."," Toppan Printing Company, Ltd."," As a non-food contact layer in multilayer films intended for use in packaging food of all types under the Conditions of Use B through H as defined in Table 2."," The FCS layer will be separated from food by a 20-micron or thicker layer of low density polyethylene (LDPE) or a non-LDPE polymer layer of a thickness sufficient to provide equivalent or better barrier properties than 20 microns of LDPE.",12/09/2004," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("463"),,,,,," 1,3-Benzenedicarbonyl dichloride, polymer with 1,4-benzenedicarbonyl dichloride, 1,3-benzenediol, carbonic dichloride and 4,4'-(1-methylethylidene)bisphenol, 4-(1-methyl-1-phenylethyl)phenyl ester (CAS Reg. No. 235420-85-6).",," SABIC Innovative Plastics"," SHPP US LLC"," The FCS may be used neat or in blends with polycarbonate resins, in articles or components of articles intended for single and repeat-use food contact applications."," The finished food contact article may be used in contact with all food types and under Conditions of Use B through H, as described in Tables 1 and 2, respectively.",02/12/2005," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("464"),,,,,," C.I. Pigment Yellow 163 (CAS Reg. No. 68186-92-5).",," BASF Corporation"," Colors and Effects USA LLC"," As a colorant in single- and repeat-use polymeric, food-contact articles."," For use at levels not to exceed 2 percent by weight of the finished polymer. The finished polymers are intended to contact all types of food under Conditions of Use A through H, as described in Table 2. The maximum thickness of the polymers containing the food contact substance should not exceed 0.5 cm.",12/17/2004," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("465"),,,,,," N,N'-1,6-hexanediylbis[2-amino-benzamide] (CAS Reg. No. 103956-07-6)",," The Coca-Cola Company Clariant Life Science Molecules (America), Inc. INVISTA S.àr.1."," The Coca-Cola Company Clariant Life Science Molecules (America), Inc. INVISTA S.àr.1."," For use as a scavenger for acetaldehyde in polyethylene terephthalate (PET) beverage bottles."," The FCS may be used at levels up to 2000 ppm when added during melt-phase PET polymerization, or at levels up to 1000 ppm when added during PET extrusion. PET beverage bottles containing the FCS may be used in contact with aqueous, acidic, and low-alcohol foods under Conditions of Use C through G, as described in Table 2.",12/17/2004," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("469"),,,,,," Industrial starch modified by treatment with greater than 5 percent and not more than 21 percent by weight of 2,3-epoxypropyl trimethylammonium chloride (CAS Reg. No. 3303-77-0).",," Ingredion Inc."," Ingredion Inc."," As a retention aid and/or drainage aid and/or dry strength agent employed prior to the sheet forming operation in the manufacture of food-contact paper and paperboard at a maximum level of 1 percent by weight of the dry pulp."," The modified industrial starch must be used in compliance with Title 21 CFR 178.3520(a)(1), (b), and (c). The finished paper and paperboard may be used only under Conditions of Use A through D identified in Table 2.",02/25/2005," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("472"),,,,,,," REPLACED BY FCN 526",,,,,," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("473"),,,,,," 2,6-naphthalenedicarboxylic acid, polymer with 1,4-benzenedicarboxylic acid, 1,4-butanediol and 4,4'-(1,3,6,8-tetrahydro-1,3,6,8-tetraoxobenzo[lmn][3,8]phenanthroline-2,7-diyl)bis[benzoic acid].",," Mitsubishi Chemical Corporation"," Mitsubishi Chemical Corporation"," As an ultraviolet light absorber in polyethylene phthalate polymers complying with 21 CFR 177.1630 used in contact with foods."," For use only at levels not to exceed 3.3 percent by weight of the finished polyethylene phthalate polymers. The finished FCS may be used in contact with all food types, under conditions of use B through H, as described in Tables 1 and 2, respectively.",02/03/2005," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("474"),,,,,," Tetradecanoic acid; lithium salt (CAS Reg. No. 20336-96-3).",," ASAHI DENKA Co., Ltd."," ASAHI DENKA Co., Ltd."," As a stabilizer for polypropylene polymers and copolymers complying with 21 CFR 177.1520(c), items 1.1, 3.1, and 3.2."," The stabilizer is to be used at levels not to exceed 0.1 percent by weight of the finished polypropylene polymers or copolymers. The finished articles containing the stabilizer may contact any type of food under Conditions of Use A through H, as described in Table 2.",02/09/2005," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("475"),,,,,," Polylactide (PLA) polymers containing from 6 to 16 weight percent D-lactic acid polymer units (High D PLA; CAS Reg. No. 9051-89-2). The polymers will be manufactured and characterized as further described in the notification.",," NatureWorks LLC"," NatureWorks LLC"," As a component in the manufacture of articles intended to contact food."," The FCS is intended to contact all types of food under Conditions of Use C through G, as described in Table 2.",02/11/2005," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("476"),,,,,," Silver-zinc-magnesium-aluminum-calcium-sodium-borate-phosphate glass.",," Ishizuka Glass Co. Ltd."," Ishizuka Glass Co. Ltd."," As an antimicrobial agent in all types of food contact polymers."," For use only at levels not to exceed 1.7 percent by weight of the finished article in which the silver content of the finished article shall not exceed 0.044 percent by weight, under Conditions of Use A through H.",02/15/2005," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("477"),,,,,," Poly(oxy-1,2-ethanediyl), &alpha;-eicosyl-&omega;-hydroxy- (CAS Reg. No. 26636-39-5).",," Dr. W. Kolb AG"," Dr. W. Kolb AG"," For use as an antistatic agent in polypropylene polymers and copolymers."," For use at levels not to exceed 1.0 weight percent of the finished article in contact with aqueous foods under Conditions of Use C through G, as described in Table 2.",02/15/2005," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("479"),,,,,," Copolymer of vinylidene chloride and butyl acrylate (CAS Reg. No. 9011-09-0), containing up to 10 weight percent polymer units derived from butyl acrylate.",," The Dow Chemical Company"," The Dow Chemical Company"," The FCS will be used in the manufacture of articles or components of articles intended to contact food."," The FCS has a weight average molecular weight in the range of 70,000-200,000 Daltons. Finished articles containing the FCS will have a thickness no greater than 3 mil (0.003 inch), and will be used in contact with all food types under Conditions of Use A through H as described in Tables 1 and 2, respectively.",03/01/2005," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("480"),,,,,," Alpha alkene (C20-C24) polymers with maleic anhydride reaction products with 2,2,6,6-tetramethyl-4-piperidinamine (CAS Reg. No. 152261-33-1).",," BASF AG"," BASF AG"," As an ultraviolet light stabilizer at levels not exceeding 0.3 percent by weight in olefin polymers complying with 21 CFR 177.1520 Olefin polymers, or an effective food contact substance notification."," Limited to use in contact with aqueous, acidic and low-alcohol foods under Conditions of Use E through G as described in Table 2.",03/22/2005," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("481"),,,,,," Tetrafluoroethylene-ethylene-3,3,4,4,5,5,6,6,6-nonafluoro-1-hexene terpolymer (CAS Reg. No. 68258-85-5).",," Asahi Glass Company, Ltd."," Asahi Glass Company, Ltd."," The FCS will be used as a base resin or coating in repeat-use applications."," For use as a base resin or coating in repeat-use applications in contact with all food types at temperatures up to 302°F (150°C).",05/10/2005," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("482"),,,,,," Hydrogenated aromatic petroleum hydrocarbon resin (CAS Reg. No. 88526-47-0), which may be partially hydrogenated.",," Eastman Chemical Company"," Nanjing Yangzi Synthomer Chemical Co., Ltd.<br>Synthomer Middleburg B.V.<br>Synthomer Adhesive Technologies LLC<br>Synthomer Mexico, S.A. de C.V."," As a component of pressure-sensitive adhesives used as the food-contact surface of labels and tapes as provided in 21 CFR 175.125 (Pressure-sensitive adhesives)."," The labels or tapes will be used at room temperature or below. The use level of the FCS is up to 47.5 percent by weight of the final adhesive formulation.",04/05/2005," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("484"),,,,,," Isobutylene-butene copolymer (CAS Reg. No. 9044-17-1).",," NOVA Chemicals Inc."," NOVA Chemicals Inc."," For use as a process aid in the manufacture of styrene-maleic anhydride copolymers complying with 21 CFR 177.1820(b)(2)."," Molecular weight (range): 150-6500.  Viscosity (range): 200-235 cST (100°C). Maximum bromine value: 90.  At levels not to exceed 4 percent by weight of styrene-maleic anhydride resins used to fabricate non-film food-contact articles. The FCS is primarily intended for single-service applications. The FCS will be used in contact with: (1) refrigerated or frozen food (Conditions of Use F and G); (2) refrigerated or frozen food that may be microwave reheated; (3) takeout food items that have been hot filled; and (4) aqueous and acidic foods for use as components of food processing machinery at temperatures not to exceed 100°C for up to five minutes.",04/06/2005," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("485"),,,,,," Polybetaine polysiloxane copolymer (CAS Reg. No. 102523-96-6).",," Ecolab, Inc."," Ecolab, Inc."," For use as a processing aid in rinse-aid products used in commercial dishwashing machines."," The FCS will be used in rinse-aid products at concentrations up to 2.14 ppm in the final rinse water of commercial dishwashing machines.",04/21/2005," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
