FCM and Articles Regulation, Annex I - Authorised Substances
Note: Group entries are split in different rows.
Export date: 12/03/2025 10:41:38
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Mannitol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Mannitol"	""	"162"	"65520"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Methacrylic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Methacrylic acid"	""	"150"	"20020"	"no"	"yes"	"no"	""	"G23 Group Restriction No. 23 corresponds to FCM substance No. 150,156,181,183,184,355,370,374,439,440,447,457,482. Group restriction specification is expressed as methacrylic acid."	"150,156,181,183,184,355,370,374,439,440,447,457,482"	"6 mg/kg"	""	""	""	""	"As metacrylic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Methanol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Methanol"	""	"117"	"21550"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Myristic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Myristic acid"	""	"348"	"6789122350"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of n-Decanoic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of n-Decanoic acid"	""	"336"	"4594015095"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of n-Dodecanedioic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of n-Dodecanedioic acid"	""	"367"	"16697"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of N-Heptylaminoundecanoic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of N-Heptylaminoundecanoic acid"	""	"731"	"18220"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	"V2 There is a risk that the SML or OML could be exceeded in fatty food simulants."	""	""	"As N-Heptylaminoundecanoic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of n-Octylphosphonic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of n-Octylphosphonic acid"	""	"483"	"68860"	"yes"	"no"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	"As n-Octylphosphonic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of o-Cresol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of o-Cresol"	""	"174"	"14740"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Oleic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Oleic acid"	""	"270"	"2276369040"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Oleyl alcohol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Oleyl alcohol"	""	"332"	"69760"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Oxalic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Oxalic acid"	""	"333"	"2277569920"	"yes"	"yes"	"no"	"6 mg/kg"	""	""	""	""	""	""	""	"As Oxalic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of p-Cresol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of p-Cresol"	""	"216"	"14770"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of p-Hydroxybenzoic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of p-Hydroxybenzoic acid"	""	"190"	"18880"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Palmitic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Palmitic acid"	""	"105"	"2278070400"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Palmitoleic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Palmitoleic acid"	""	"338"	"71020"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Pentaerythritol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Pentaerythritol"	""	"279"	"2284071600"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Perfluoro[2-(n-propoxy)propanoic acid]"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Perfluoro[2-(n-propoxy)propanoic acid]"	""	"861"	"71990"	"yes"	"no"	"no"	""	""	""	""	"Only to be used in the polymerisation of fluoropolymers that are processed at temperatures at or above 265 °C and are intended for use in repeated use articles."	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Phenol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Phenol"	""	"241"	"22960"	"no"	"yes"	"no"	"3 mg/kg"	""	""	""	""	""	""	""	"As phenol"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Phosphoric acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Phosphoric acid"	""	"509"	"2317072640"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Phthalic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Phthalic acid"	""	"192"	"23187"	"no"	"yes"	"no"	""	"G28 Group Restriction No. 28 corresponds to FCM substance No. 191,192,785. Group restriction specification is expressed as terephthalic acid."	"191,192,785"	"7.5 mg/kg"	""	""	""	""	"As terephthalic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Polyphosphoric acids"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Polyphosphoric acids"	""	"534"	"80720"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Propionic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Propionic acid"	""	"146"	"8200023890"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Pyrophosphoric acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Pyrophosphoric acid"	""	"445"	"83440"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	"As Pyrophosphoric acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Pyrophosphorous acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Pyrophosphorous acid"	""	"609"	"83455"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Ricinoleic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Ricinoleic acid"	""	"324"	"83700"	"yes"	"no"	"yes"	"42 mg/kg"	""	""	""	""	""	""	""	"As Ricinoleic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Sebacic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Sebacic acid"	""	"260"	"24280"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	"As Sebacic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Silicic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Silicic acid"	""	"417"	"85680"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	"As Silicic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Sorbic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Sorbic acid"	""	"252"	"87200"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	"As Sorbic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Sorbitol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Sorbitol"	""	"100"	"8832024490"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Stearic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Stearic acid"	""	"106"	"2455089040"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Styrenesuphonic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Styrenesuphonic acid"	""	"656"	"24760"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	"As Styrenesuphonic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Succinic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Succinic acid"	""	"247"	"9096024820"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Sulphuric acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Sulphuric acid"	""	"511"	"91920"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Tannic acids"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Tannic acids"	""	"419"	"92150"	"yes"	"no"	"no"	""	""	""	""	"According to the JECFA specifications."	""	""	""	"As Tannic acids"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Terephthalic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Terephthalic acid"	""	"785"	"24910"	"no"	"yes"	"no"	""	"G28 Group Restriction No. 28 corresponds to FCM substance No. 191,192,785. Group restriction specification is expressed as terephthalic acid."	"191,192,785"	"7.5 mg/kg"	""	""	""	""	"As terephthalic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Tetraethyleneglycol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Tetraethyleneglycol"	""	"269"	"9235025090"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Tricyclodecanedimethanol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Tricyclodecanedimethanol"	""	"655"	"25450"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	"As Tricyclodecanedimethanol"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Triethyleneglycol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Triethyleneglycol"	""	"266"	"2551094320"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Trimellitic acid"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of Trimellitic acid"	""	"347"	"2554013050"	"no"	"yes"	"no"	""	"G21 Group Restriction No. corresponds to FCM substance No. Group restriction specification is expressed as trimellitic acid."	"347,349"	"5 mg/kg"	""	""	""	""	"As trimellitic acid"	
"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of α-Tocopherol"	"-"	"-"	"All salts of Al, NH4, Ba, Ca, Co, Cu, Fe, Li, Mg, Mn, K, Na, Zn, Eu, Gd, La and Tb of α-Tocopherol"	""	"110"	"93520"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"alpha-tocopherol"	"200-412-2"	"59-02-9"	"alpha-tocopherol"	"59-02-9"	"110"	"93520"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"alpha-tocopherol acetate"	"200-405-4"	"58-95-7"	"alpha-tocopherol acetate"	"58-95-7"	"1055"	""	"yes"	"no"	"no"	""	""	""	""	"Only to be used as antioxidant in polyolefins."	"V24 The substance or its hydrolysis products are authorised food additives and compliance with Article 11(3) shall be verified."	""	""	""	
"aluminium calcium hydroxide phosphite, hydrate"	"-"	"191427-79-9"	"aluminium calcium hydroxide phosphite, hydrate"	"191427-79-9"	"18"	"34475"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"aluminium fibers, flakes and powders"	"-"	"-"	"aluminium fibers, flakes and powders"	""	"501"	"34480"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"aluminium hydroxide"	"244-492-7"	"21645-51-2"	"aluminium hydroxide"	"21645-51-2"	"629"	"34560"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"aluminium hydroxybis [2,2'-methylenebis (4,6-di-tert-butylphenyl) phosphate]"	"430-650-4"	"151841-65-5"	"aluminium hydroxybis [2,2&#39;-methylenebis (4,6-di-tert-butylphenyl) phosphate]"	"151841-65-5"	"771"	"34650"	"yes"	"no"	"no"	"5 mg/kg"	""	""	""	""	""	""	""	""	
"aluminium magnesium carbonate hydroxide"	"234-319-3"	"11097-59-9"	"aluminium magnesium carbonate hydroxide"	"11097-59-9"	"592"	"34690"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"aluminium oxide"	"215-691-6"	"1344-28-1"	"aluminium oxide"	"1344-28-1"	"418"	"34720"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"aluminum calcium oxide sulfate"	"609-389-7"	"37293-22-4"	"aluminum calcium oxide sulfate"	"37293-22-4"	"598"	"41600"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"amines, bis(hydrogenated tallow alkyl) oxidised"	"418-370-0"	"143925-92-2"	"amines, bis(hydrogenated tallow alkyl) oxidised"	"143925-92-2"	"768"	"34850"	"yes"	"no"	"no"	""	""	""	""	"Not to be used for articles in contact with fatty foods for which simulant D1 and/or D2 is laid down.Only to be used in: (a)polyolefins at 0,1 % (w/w) concentration and in(b)PET at 0,25 % (w/w) concentration."	"V1 Verification of compliance by residual content per food contact surface area (QMA) pending the availability of an analytical method."	""	""	""	
"ammonia"	"231-635-3"	"7664-41-7"	"ammonia"	"7664-41-7"	"510"	"1278935320"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"ammonium bromide"	"235-183-8"	"12124-97-9"	"ammonium bromide"	"12124-97-9"	"601"	"35440"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"ammonium hydroxide"	"215-647-6"	"1336-21-6"	"ammonium hydroxide"	"1336-21-6"	"413"	"35600"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"antimony trioxide"	"215-175-0"	"1309-64-4"	"antimony trioxide"	"1309-64-4"	"398"	"35760"	"yes"	"no"	"no"	""	""	""	""	""	"V6 Migration limit might be exceeded at very high temperature."	""	""	""	
"arachidic acid"	"208-031-3"	"506-30-9"	"arachidic acid"	"506-30-9"	"345"	"35840"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"arachidonic acid"	"-"	"7771-44-0"	"arachidonic acid"	"7771-44-0"	"518"	"35845"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"ascorbic acid"	"200-066-2"	"50-81-7"	"ascorbic acid"	"50-81-7"	"101"	"36000"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"ascorbyl palmitate"	"205-305-4"	"137-66-6"	"ascorbyl palmitate"	"137-66-6"	"321"	"36080"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"ascorbyl stearate"	"234-231-5"	"10605-09-1"	"ascorbyl stearate"	"10605-09-1"	"591"	"36160"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"azelaic acid"	"204-669-1"	"123-99-9"	"azelaic acid"	"123-99-9"	"302"	"12820"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"azelaic anhydride"	"-"	"4196-95-6"	"azelaic anhydride"	"4196-95-6"	"479"	"12970"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"barium hydroxide"	"241-234-5"	"17194-00-2"	"barium hydroxide"	"17194-00-2"	"625"	"36720"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"barium nitrate"	"233-020-5"	"10022-31-8"	"barium nitrate"	"10022-31-8"	"581"	"36800"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"barium tetraborate"	"-"	"12007-55-5"	"barium tetraborate"	"12007-55-5"	"599"	"36840"	"yes"	"no"	"no"	""	"G16 Group Restriction No. 21 corresponds to FCM substance No. 347,349. Group restriction specification is expressed as boron, without prejudice to the provisions of Directive 98/83/EC."	"407,583,584,599"	"6 mg/kg"	""	""	""	""	"As boron"	
"beeswax"	"232-383-7"	"8012-89-3"	"beeswax"	"8012-89-3"	"531"	"36880"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"behenamide"	"221-304-1"	"3061-75-4"	"behenamide"	"3061-75-4"	"458"	"36960"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"behenic acid"	"204-010-8"	"112-85-6"	"behenic acid"	"112-85-6"	"272"	"37040"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"bentonite"	"215-108-5"	"1302-78-9"	"bentonite"	"1302-78-9"	"393"	"37280"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"benzaldehyde"	"202-860-4"	"100-52-7"	"benzaldehyde"	"100-52-7"	"195"	"37360"	"yes"	"no"	"no"	""	""	""	""	""	"V3 There is a risk that the migration of the substance deteriorates the organoleptic characteristics of the food in contact and then, that the final product does not comply with Article 3(1) c of the Framework Regulation (EC) No 1935/2004."	""	""	""	
"benzoic acid"	"200-618-2"	"65-85-0"	"benzoic acid"	"65-85-0"	"116"	"3760013090"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"benzoic acid, butyl ester"	"205-252-7"	"136-60-7"	"benzoic acid, butyl ester"	"136-60-7"	"320"	"37680"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"benzoic acid, ethyl ester"	"202-284-3"	"93-89-0"	"benzoic acid, ethyl ester"	"93-89-0"	"172"	"37840"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"benzoic acid, methyl ester"	"202-259-7"	"93-58-3"	"benzoic acid, methyl ester"	"93-58-3"	"171"	"38080"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"benzoic acid, propyl ester"	"219-020-8"	"2315-68-6"	"benzoic acid, propyl ester"	"2315-68-6"	"441"	"38160"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"benzophenone"	"204-337-6"	"119-61-9"	"benzophenone"	"119-61-9"	"286"	"38240"	"yes"	"no"	"yes"	"0.6 mg/kg"	""	""	""	""	""	""	""	""	
"Benzophenone-3,3',4,4'-tetracarboxylic dianhydride (BTDA)"	"219-348-1"	"2421-28-5"	"Benzophenone-3,3&#39;,4,4&#39;-tetracarboxylic dianhydride (BTDA)"	"2421-28-5"	"1083"	""	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	"Only to be used at up to 43 % (w/w) as a co-monomer in the production of polyimides for use in contact with foods for which only simulants B and/or D2 are laid down in table 2 of Annex III at temperatures up to 250 °C."	""	""	""	""	
"benzyl alcohol"	"202-859-9"	"100-51-6"	"benzyl alcohol"	"100-51-6"	"194"	"13150"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"bicyclo[2.2.1]hept-2-ene"	"207-866-0"	"498-66-8"	"bicyclo[2.2.1]hept-2-ene"	"498-66-8"	"341"	"2255013180"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	""	
"bis(2,4-di-tert-butylphenyl) pentaerythritol diphosphite"	"247-952-5"	"26741-53-7"	"bis(2,4-di-tert-butylphenyl) pentaerythritol diphosphite"	"26741-53-7"	"652"	"38820"	"yes"	"no"	"yes"	"0.6 mg/kg"	""	""	""	""	""	""	""	""	
"bis(2,4-dicumylphenyl)pentaerythritol-diphosphite"	"421-920-2"	"154862-43-8"	"bis(2,4-dicumylphenyl)pentaerythritol-diphosphite"	"154862-43-8"	"773"	"38840"	"yes"	"no"	"yes"	"5 mg/kg"	""	""	""	"SML expressed as sum of the substance itself, its oxidised form bis(2,4-dicumylphenyl)pentaerythritol-phosphate and its hydrolysis product (2,4-dicumylphenol)."	""	""	""	"As sum of the substance itself, its oxidised form bis(2,4-dicumylphenyl)pentaerythritol-phosphate and its hydrolysis product (2,4-dicumylphenol)"	
"bis(2,6-di-tert-butyl-4-methylphenyl)pentaerythritol diphosphite"	"410-290-4"	"80693-00-1"	"bis(2,6-di-tert-butyl-4-methylphenyl)pentaerythritol diphosphite"	"80693-00-1"	"746"	"38810"	"yes"	"no"	"yes"	"5 mg/kg"	""	""	""	"SML expressed as sum of phosphite and phosphate."	""	""	""	"As sum of phosphite and phosphate"	
"bis(2,6-diisopropylphenyl) carbodiimide"	"218-487-5"	"2162-74-5"	"bis(2,6-diisopropylphenyl) carbodiimide"	"2162-74-5"	"438"	"13303"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	"Expressed as the sum of bis(2,6-diisopropylphenyl)carbodiimide and its hydrolysis product 2,6-diisopropylaniline"	""	""	""	"As the sum of bis(2,6-diisopropylphenyl)carbodiimide and its hydrolysis product 2,6-diisopropylaniline"	
